English;Français;Spanish
Scrubbing under the folds;Bien nettoyer sous les plis;
A drive-by shooting;Une fusillade en voiture;
The folly of man;La folie de l'homme;
Fiery poops;Un étron fougueux;
Dropping a chandelier on your enemies and riding the rope up;Faire tomber un chandelier sur ses ennemis et monter avec la corde;
A good sniff;;
Lockjaw;;
The People's Elbow;;
The glass ceiling;Le plafond de verre;
Crumpets with the Queen;Des crumpets avec la Reine;
Frolocking;
Overcompensation;La surcompensation;
Shorties and blunts;Des putes et des gros cigares;
Passing a kidney stone;Avoir des calculs rénaux;
Prancing;S'agiter;
9oz. of sweet Mexican black-tar heroin;9 onces de bonne héroïne black-tar mexicaine;
Drum circles;Des Djembe-Man;
Tangled Slinkys;Des écouteurs emmêlés;
A vajazzled vagina;Un ticket de métro;
Riding off into the sunset;Partir à cheval vers le soleil couchant;
Exchanging pleasantries;Échanger des politesses;
Ring Pops;Les Malabars;
Dick Fingers;Avoir deux mains gauches;
Swooping;Avoir la suasse;
The Hamburglar;Hamburglar;
A hot mess;Un beau bordel;
A look-see;Une inspection profonde;
The Kool-Aid Man;Jean Mineur;
Mr. Snuffleupagus;Babar;
Wiping her butt;Essuyer le cul de sa chère et tendre;
Queefing;Les pets de fouffe;
White privilege;La préférence aux Blancs;
Wifely duties;Les devoirs d'épouse;
A gassy antelope;La mouche qui pète;
Muhammad (Praise Be Unto Him);Mohammed (Que la paix et la bénédiction de Dieu soient sur Lui);
Tasteful sideboob;Un décolleté du meilleur goût;
Cooping a feel;Un pelotage surprise;
The Trail of Tears;Le STO;
Finger painting;La peinture au doigt;
Kanye West;Florent Pagny;
The Dance of the Sugar Plum Fairy;Pierre et le Loup;
Mathletes;Les fans des Chiffres et des Lettres;
Powerful thighs;Des cuisses puisssantes;
Mr Clean, right behind you;Mr Propre, derrière toi;
A big hoopla about nothing;Beaucoup de bruit pour rien;
;Mimie Mathy nue;
;Rachida Dati;
;Un développeur de pénis suédois;
;Les roux (surtout quand il pleut);
;Un rallye;
;Le régime Dukan;
My humps; Mes poignets d'amour;
The Hustle;La Tektonik;
Dry heaving;Vomir de la bile;Guasquearse
A foul mouth;Une personne grossière;Alguien muy jetón
A mating display;Un dispositif de reproduction;Pavonearse
Adderall;Les nootropiques;Anfetaminas
Loose lips;Une langue bien pendue;Chimosos
Inappropriate yodeling;Du yodel inapproprié;Jodeling inapropiado
Date rape;;Viola-cita
American Gladiators;Fort Boyard;Expedición Robinson
Oompa-Loompas;Les nains de Fort Boyard;Oompa-Loompas
Faith healing;L'eau de Lourdes;Sanadores cristianos
The Amish;Les décroissants du Larzac;Testigos de Jehová
Lunchables;Les instant-noodles;Comida precocida
John Wilkes Booth;Emile Louis;Alberto Santofimio Botero
Coat hanger abortions;L'avortement à la mode Cheb Mami;Abortos con ganchos de ropa
Man meat;Le salami d'homme;Carne de hombre
Autocannibalism;L'auto-cannibalisme;Autocanibalismo
Vigorous jazz hands;Les mains de Michael J. Fox;Bailar el Aserejé con entusiasmo
Flightless birds;Les oiseaux qui ne volent pas;Pájaros incapaces de volar
Pictures of boobs;Le catalogue de la Redoute;Fotos de tetas
Doing the right thing;Faire le bon choix;Hacer lo correcto
Hunting accidents;Les accidents de chasse;Accidentes de cacería
A cartoon camel enjoying the smooth, refreshing taste of a cigarette;Un dessin de chameau appréciant le doux et rafraîchissant goût d'une cigarette;Juan Valdéz saboreando una suave taza de café
The violation of our most basic human rights;La violation de nos droits de l'Homme les plus basiques;La violación de los más fundamentales derechos humanos
Viagra;Le Viagra;Viagra
Self-loathing;La haine de soi;Odiarse a sí mismo
Spectacular abs;Des abdos de ouf;Abdominales espectaculares
An honest cop with nothing left to lose;Un flic honnête qui n'a plus rien à perdre;Un policía honrado sin nada que perder
Abstinence;L'abstinence;Abstinencia
A balanced breakfast;Un petit-déjeuner équilibré;Un desayuno balanceado
