English;Français;Español
In the new Disney Channel Original Movie, Hannah Montana struggles with ____ for the first time.;Dans le prochain tome, Martine se retrouvera confrontée pour la première fois à ___.;
____ is a slippery slope that leads to ____ (2);___ est un terrain glissant qui amène à ___. (2);
BILLY MAYS HERE FOR;Pierre Bellemare vous présente ce magnifique produit, ___.;
What's the crustiest ?;;
What's Teach for America using to inspire inner city student to succeed?;Quelle est la recette secrète de Acadomia pour faire réussir les élèves ?;
LifeTime presents _____, the story of ____(2);Téva présente ___, l'histoire de ___. (2);
What's my anti-drug ?;La drogue, j'arrête quand je veux grâce à _____;
;La prochaine saison de Plus belle la vie abordera enfin le sujet de ___  au Mistral.;
;Le Téléthon ? Rien à foutre, cette année je donne à une association pour ___.;
In an attempt to reach a wider audience, the Smithsonian Museum of Natural History has opened an interactive exhibit on ____;Afin de séduire un plus large public, le Musée d'Histoire Naturelle vient d'inaugurer une exposition interactive sur ___.;En un intento de ampliar su audiencia, El Museo de Arte Moderno ha inaugurado una exhibición interactiva de ___
____ ? There's a app for that.;___ ? Y a une appli pour ça !;¿______? Ya hay una app para eso.
Why can't I sleep at night ?;Pourquoi je ne dors pas la nuit ?; ¿Por qué no puedo dormir de noche?
What's that smell ?;Qu'est-ce que c'est que cette odeur ?; ¿A qué huele?
I got 99 problems but _____ ain't one.;Croyez-vous que je sois jaloux ? Pas du tout, pas du tout ! Moi j'ai un ___. Les filles en tombent à mes genoux.;Tengo 99 problemas, pero ____ no es uno de ellos.
Who stole the cookies from the cookie jar ?;Qui a mis les doigts dans le pot à confiture ?;¿Quién se comió las galletas?
What's the next Happy Meal toy ?;Quel est le prochain jouet du Happy Meal ?;¿Cuál es el próximo juguete de la Cajita Feliz?
Anthropologists have recently discovered a primitive tribe that worships ____;Des anthropologues ont récemment découvert une tribu qui voue un culte à ___.;Antropólogos descubrieron recientemente una tribu primitiva que venera a ____
It's a pity that kids these days are all getting involved with ____;C'est vraiment triste que les jeunes de nos jours se mettent à ___.;Es una lástima que los niños de hoy en día estén tan metidos en ____
During Picasso's often-overlooked Brown Period, he produced hundreds of paintings of ____;Durant sa période brune souvent oubliée, Picasso a produit des centaines de peintures de ___.;En el poco conocido período marrón de Picasso, él hizo montones de pinturas de ____
Alternative medecine is now embracing the curative powers of ____;La médecine alternative adopte maintenant les vertus curatives de ___.;La medicina alternativa ahora aprovecha el poder curativo de ___
And the Academy Award for ____ goes to ____ (2);Et le César de ___ est attribué à ___ (2);Y la India Catalina en la categoría ___ es para ___ (2)
What's that sound ?;Quel est ce bruit ?;¿Qué es ése ruido?
What ended my last relationship ?;Qu'est-ce qui a mis un terme à ma dernière relation ?;¿Qué acabó con mi última relación?
MTV's new reality show features eight washed-up celebrities living with ____ ;La nouvelle émission télé-réalité de la 6 montre 8 peoples sur le déclin vivant avec ___.;El nuevo reality de Nuestra Tele muestra ocho famosos viviendo con ___
I drink to forget ____;Je bois pour oublier ___.;Bebo para olvidar ___
